Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
SLOVENIA,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOMALIA,0.0,0.0,0.0,7.59,20.25,27.85,0.0,0.0,8.86,0.0,0.0,3.8,26.58,0.0,0.0,0.0,3.8,0.0,0.0,1.27,0.0,0.0,0.0,0.0
SOUTH AFRICA,3.57,0.0,0.0,10.71,53.57,3.57,0.0,0.0,7.14,0.0,0.0,3.57,14.29,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0
SOUTH KOREA,4.17,0.0,0.0,8.33,29.17,12.5,0.0,0.0,4.17,0.0,0.0,16.67,18.75,0.0,0.0,0.0,2.08,0.0,0.0,4.17,0.0,0.0,0.0,0.0
SOUTH SUDAN,0.0,0.0,0.0,50.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAIN,3.76,0.0,0.0,4.51,61.65,5.26,0.0,0.0,5.26,0.0,0.0,8.27,7.52,0.0,0.0,0.0,1.5,0.0,0.0,2.26,0.0,0.0,0.0,0.0
SRI LANKA,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,55.56,0.0,0.0,5.56,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST. KITTS-NEVIS,0.0,0.0,0.0,14.29,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST. LUCIA,0.0,0.0,0.0,6.25,50.0,12.5,0.0,0.0,0.0,0.0,0.0,18.75,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST. VINCENT-GRENADINES,0.0,0.0,0.0,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUDAN,1.45,0.0,0.0,8.7,26.09,20.29,0.0,0.0,20.29,0.0,0.0,7.25,11.59,0.0,1.45,0.0,1.45,0.0,0.0,1.45,0.0,0.0,0.0,0.0
SURINAME,0.0,0.0,0.0,0.0,22.22,22.22,0.0,0.0,0.0,0.0,0.0,33.33,11.11,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
SWEDEN,11.11,0.0,0.0,22.22,22.22,0.0,0.0,0.0,22.22,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
SWITZERLAND,25.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
